Issue ID,Product,Component,Assignee,Status,Resolution,Summary,Changed
51561,Infrastructure,Bugzilla,stx123,CLOSED,FIXED,Version list incomplete,2005/8/10 19:13
52730,Internationalization,helpcontent,uwefis,CLOSED,FIXED,DE: Extended Tip "Format/Send backward "down/bottom" instead of "up/top",2013/8/7 15:01
34312,Installation,code,pavel,CLOSED,FIXED,Add Czech extras for 2.0,2005/3/31 19:04
63153,Impress,ui,wolframgarten,CLOSED,FIXED,Wrong capitalization in Title of  "Name Object " Dialog,2006/4/12 9:04
44750,Internationalization,code,ivo.hinkelmann,CLOSED,FIXED,german string in en-US GSi file,2013/8/7 15:00
54866,Impress,open-import,christian.guenther,CLOSED,FIXED,New paste behavior for OLE data  - QA,2013/8/7 15:20
38328,Installation,code,olaf-openoffice,CLOSED,FIXED,More product information in comment field,2005/1/7 13:56
8961,Infrastructure,Bugzilla,non-migrated,CLOSED,FIXED,don't wrap left sidebar around IssueZilla pages,2008/5/17 23:23
39408,Internationalization,code,oc,CLOSED,FIXED,Russian localedata corrections,2013/8/7 15:00
110327,Native-Lang,nl,issues,CLOSED,FIXED,Language issue: Macro Recorder,2013/7/12 18:13
32441,Native-Lang,www,branislav.klocok,CLOSED,FIXED,dvakrat tabulka,2012/1/31 1:09
59086,Internationalization,ui,marc.neumann,CLOSED,FIXED,[DE] "Pers?nliches Adre?buch" instead of "Persönliches Adreßbuch",2013/8/7 15:01
12229,Installation,ui,non-migrated,CLOSED,FIXED,no revision number in About OpenOffice.org,2003/9/8 16:53
51358,Internationalization,code,oc,CLOSED,FIXED,Please add Sinhala language (si_LK),2013/8/7 15:03
39121,Internationalization,code,oc,CLOSED,FIXED,Corrections for Khmer locale.,2013/8/7 15:00
46438,Native-Lang,www,non-migrated,CLOSED,FIXED,Lost Access to http://gu.openoffice.orf CVS,2008/5/18 0:02
44707,Impress,viewing,wolframgarten,CLOSED,FIXED,Subscript and Superscript missing for word-by-word effects,2005/4/1 9:21
27213,Installation,code,christian.guenther,CLOSED,FIXED,Problem registering directxcanvas.uno.dll during installation,2005/3/31 15:07
46270,Impress,editing,stefan.baltzer,CLOSED,FIXED,"""Find All"" button in Find&Replace dialog is always disabled in Draw and Impress thus should be hidden",2010/5/26 17:05
27418,Impress,code,wolframgarten,CLOSED,FIXED,crash when saving a defect file,2005/10/14 14:40
33608,Native-Lang,www,branislav.klocok,CLOSED,FIXED,Inicialy,2012/1/31 1:09
36914,Impress,ui,christian.guenther,CLOSED,FIXED,Slie transition preview has white border,2005/4/11 12:29
18775,Math,ui,michael.ruess,CLOSED,FIXED,The formula editor's selection window is too small,2013/8/7 14:55
24545,Impress,ui,christian.guenther,CLOSED,FIXED,CD template improvements,2004/9/1 13:25
31070,Installation,ui,requirements,CLOSED,FIXED,Shortcuts/links should not be created directly under Start Menu > All Programs,2005/2/12 20:02
59434,Math,code,michael.ruess,CLOSED,FIXED,MathML export feature uses characters from the private use area of Opensymbol,2013/8/7 14:55
20374,Installation,code,andreas.treumann,CLOSED,FIXED,Q-PCD ConfigAdminDeploy-18:  automated custom installs,2006/4/11 7:09
46014,Infrastructure,Bugzilla,non-migrated,CLOSED,FIXED,Backward link in "Show votes" is shown as HTML code,2006/9/18 10:51
25365,Infrastructure,Bugzilla,non-migrated,CLOSED,FIXED,"Query fails for capital letters in username, Internal Server Error",2008/5/17 23:48
26613,Impress,ui,wolframgarten,CLOSED,FIXED,Duplicate shortcut in the insert drop down menu,2004/4/15 8:31
48578,Internationalization,ui,h.ilter,CLOSED,FIXED,de UI: String too long in Extras/Serienbrief-Assistent,2013/8/7 15:03
47023,Internationalization,ui,petr.dudacek,CLOSED,FIXED,"ptBr, es UI: string ""Class Path"" should not be translated",2013/8/7 15:00
41534,Impress,ui,christian.guenther,CLOSED,FIXED,:importFromSvgD(): skipping tags in svg:d element (unknown)!,2005/4/8 12:12
