47225,gcc,lto,aoliva,RESOLVED,FIXED,"[4.6 regression]: cross-compile fails while configuring libgcc with ""xgcc: fatal error: -fuse-linker-plugin, but liblto_plugin.so not found""",2011/2/28 19:12
11702,gcc,c++,hubicka,RESOLVED,FIXED,[3.4 Regression] [unit-at-a-time] Failure to emit code for inlined function in space,2004/1/17 4:22
11640,gcc,rtl-optimization,zlomek,RESOLVED,FIXED,"[3.4 Regression]: bootstrap ICE in  rtl_verify_flow_info, at cfgrtl.c:2151",2004/1/17 4:22
41290,gcc,middle-end,hubicka,RESOLVED,FIXED,[4.5 regression] ICE: edge points to wrong declaration,2010/3/10 23:51
33870,gcc,tree-optimization,rguenth,RESOLVED,FIXED,[4.3 Regression] miscompiles sqlite,2008/6/13 9:15
31360,gcc,rtl-optimization,rakdver,RESOLVED,FIXED,[4.2 Regression] RTL loop invariant is not aggressive enough,2008/3/3 14:30
51135,gcc,target,unassigned,RESOLVED,FIXED,[4.7 Regression] SIGSEGV during exception cleanup on win32,2011/12/16 18:46
36765,gcc,tree-optimization,rguenth,RESOLVED,FIXED,[4.3 Regression] Revision 137573 miscompiles 464.h264ref in SPEC CPU 2006,2009/1/19 9:35
23948,gcc,tree-optimization,bonzini,RESOLVED,FIXED,[4.1 Regression] internal compiler error: verify_stmts failed,2006/1/23 1:26
59747,gcc,tree-optimization,law,RESOLVED,FIXED,[4.9 Regression] wrong code at -Os and above on x86_64-linux-gnu in 64-bit mode,2014/1/16 21:05
32540,gcc,tree-optimization,unassigned,RESOLVED,FIXED,[4.3 Regression] Exponential time behavior in PRE,2007/11/5 15:44
52996,gcc,middle-end,rguenth,RESOLVED,FIXED,"[4.8 Regression] ice in verify_loop_structure, at cfgloop.c:1567",2012/12/21 14:35
42521,gcc,tree-optimization,spop,RESOLVED,FIXED,"[4.5 Regression] ICE: in graphite_loop_normal_form, at graphite-sese-to-poly.c:2844",2010/1/13 17:34
54659,gcc,bootstrap,dnovillo,RESOLVED,FIXED,[4.8 Regression] Bootstrap with --disable-nls broken under Windows,2013/9/8 0:54
51072,gcc,libitm,rth,RESOLVED,FIXED,[4.7 Regression] Build with --disable-bootstrap fails in libitm,2012/1/11 22:49
28705,gcc,c++,nathan,RESOLVED,FIXED,"[4.1 Regression] ICE: in type_dependent_expression_p, at cp/pt.c:12837",2008/7/4 15:47
47215,gcc,bootstrap,ktietz,RESOLVED,FIXED,[4.6 Regression] Failed to bootstrap,2011/1/21 9:08
26577,gcc,c++,jason,RESOLVED,FIXED,[4.0/4.1 regression] ICE in cp_expr_size with volatile and non POD,2006/9/21 14:54
65710,gcc,target,unassigned,RESOLVED,FIXED,[4.9/5 Regression] Thumb1 ICE caused by no register to spill,2015/4/14 3:15
58678,gcc,c++,hubicka,RESOLVED,FIXED,[4.9 Regression] pykde4-4.11.2 link error (devirtualization too trigger happy),2014/9/11 12:16
37385,gcc,middle-end,unassigned,RESOLVED,FIXED,[4.4 Regression] ICE in set_mem_alias_set with the vectorizer and function pointers,2008/9/10 18:06
42225,gcc,c++,dodji,RESOLVED,FIXED,[4.5 Regression] GCC 4.5 ICE (segfault) on C++ templated code,2009/12/21 18:59
34244,gcc,tree-optimization,rakdver,RESOLVED,FIXED,[4.3 Regression] VRP/SCEV miscompiles Firefox,2008/5/21 13:58
63931,gcc,ada,unassigned,RESOLVED,FIXED,[5 Regression] Ada libraries use 5.0 as LIB_VERSION,2014/11/20 16:18
30274,gcc,c++,mark,RESOLVED,FIXED,[4.2/4.3 Regression] bool bit-field: wrong increment and decremenet,2007/3/13 10:26
32004,gcc,middle-end,unassigned,RESOLVED,FIXED,[4.1/4.2/4.3 regression] : can't find a register in class 'GENERAL_REGS' while reloading 'asm',2007/7/17 3:18
65780,gcc,target,unassigned,RESOLVED,FIXED,[5 Regression] Uninitialized common handling in executables,2015/5/11 7:14
38405,gcc,tree-optimization,bonzini,RESOLVED,FIXED,[4.4 Regression] (silent failure) handling bitfield in ternary,2008/12/7 20:33
31529,gcc,middle-end,rguenth,RESOLVED,FIXED,[4.3 Regression] ICE in cgraph_expand_function with IMA,2008/1/26 19:04
47244,gcc,driver,hubicka,RESOLVED,FIXED,[4.6 Regression] plugin linker is used unconditionally,2011/1/14 14:28
6994,gcc,c++,rth,RESOLVED,FIXED,[3.4 regression] ICE in find_function_data,2004/1/17 4:22
24930,gcc,rtl-optimization,pinskia,RESOLVED,FIXED,[4.0/4.1 Regression] Crash in combine,2005/12/1 3:30
45297,gcc,middle-end,spop,RESOLVED,FIXED,"[4.6 Regression] ICE: in create_linear_expr_from_tree, at graphite-sese-to-poly.c:1210 with -Os -fgraphite-identity",2010/12/2 20:14
34668,gcc,middle-end,unassigned,RESOLVED,FIXED,[4.3 Regression] ICE in find_compatible_field with -combine,2010/3/12 21:20
11144,gcc,target,unassigned,RESOLVED,FIXED,g++.dg/eh/simd-2.C fails on x86,2003/11/28 23:53
64612,gcc,bootstrap,unassigned,RESOLVED,FIXED,[5 Regression] profiledbootstrap failures,2015/1/28 7:49
59440,gcc,fortran,burnus,RESOLVED,FIXED,"[4.9 Regression] ICE in force_decl_die, at dwarf2out.c:20111 with -g",2014/1/17 19:52
42205,gcc,tree-optimization,spop,RESOLVED,FIXED,[4.5 Regression] [graphite] internal compiler error: verify_ssa failed with -ffast-math -floop-interchange,2009/12/23 7:53
61757,gcc,tree-optimization,rguenth,RESOLVED,FIXED,[4.10 Regression] genmodes failure with enable-checking,2015/1/16 5:36
23046,gcc,c++,phython,RESOLVED,FIXED,"[4.1 Regression] ICE in set_value_range, at tree-vrp.c:191",2005/11/8 21:16
64123,gcc,gcov-profile,marxin,RESOLVED,FIXED,[5 Regression] Instrumented Firefox segfaults on start,2015/2/11 14:32
28247,gcc,target,unassigned,RESOLVED,FIXED,[4.1/4.2 regression] libstdc++ cannot be build with Solaris threads,2010/4/28 20:15
65087,gcc,ipa,marxin,RESOLVED,FIXED,"[5 Regression] r220742 causes: ICE: in ipcp_verify_propagated_values, at ipa-cp.c:1057",2015/3/3 9:27
59436,gcc,pch,unassigned,RESOLVED,FIXED,[4.9 Regression] FAIL: 17_intro/headers/c++200x/stdc++.cc (test for excess errors),2014/1/7 16:52
12283,gcc,rtl-optimization,jh,RESOLVED,FIXED,profiledbootstrap fails (file resource.gcda not found),2011/2/13 14:42
11932,gcc,bootstrap,neroden,RESOLVED,FIXED,[3.4 regression] Parallel bootstrap failure with sparc libiberty multilib,2010/10/27 17:02
64688,gcc,rtl-optimization,unassigned,RESOLVED,FIXED,[4.9 Regression] internal compiler error: Max. number of generated reload insns per insn is achieved (90),2015/4/22 12:21
39545,gcc,target,unassigned,RESOLVED,FIXED,Structures with flexible array member passed/returned incorrectly,2009/6/9 20:00
58944,gcc,target,jakub,RESOLVED,FIXED,[4.9 Regression] bogus -Wunused-macros warnings when compiling Libreoffice,2014/1/18 10:24
36079,gcc,target,unassigned,RESOLVED,FIXED,[4.3/4.4 Regression] cld instruction is not emitted anymore.,2008/6/10 10:07
14007,gcc,c++,nathan,RESOLVED,FIXED,[3.3/3.4 Regression] Incorrect use of const partial specialization for reference template argument,2004/10/30 21:11
42178,gcc,middle-end,spop,RESOLVED,FIXED,[4.5 Regression] Invalid memory access in graphite,2010/1/7 18:35
34093,gcc,tree-optimization,dnovillo,RESOLVED,FIXED,"ICE in ssa_operand_alloc, at tree-ssa-operands.c:484",2009/4/3 10:31
28553,gcc,c++,unassigned,RESOLVED,FIXED,[4.1 Regression] string processing -O3 optimization bug under GCC 4.1.1,2008/7/4 15:46
43058,gcc,rtl-optimization,jakub,RESOLVED,FIXED,[4.5 Regression] var-tracking uses up all virtual memory,2010/3/23 6:48
37882,gcc,middle-end,jakub,RESOLVED,FIXED,[4.3/4.4 Regression] Bitfield miscompilation,2008/10/24 9:17
34458,gcc,tree-optimization,rguenth,RESOLVED,FIXED,"[4.3 Regression] ICE in int_cst_value, at tree.c:8047 at -O3",2008/1/13 16:25
63814,gcc,ipa,jamborm,RESOLVED,FIXED,[5 Regression] g++.dg/ipa/pr61160-1.C fails with -m32 -fPIC,2014/12/2 12:50
51117,gcc,tree-optimization,jakub,RESOLVED,FIXED,[4.7 regression] rev.181172 causes glibc build failure,2011/12/15 17:27
45388,gcc,middle-end,unassigned,RESOLVED,FIXED,[4.6 Regression] Global constructor not found,2010/12/15 11:55
59350,gcc,debug,ebotcazou,RESOLVED,FIXED,"[4.9 regression] ICE: in vt_expand_var_loc_chain, at var-tracking.c:8212",2014/1/6 19:45
60735,gcc,target,meissner,RESOLVED,FIXED,GCC targeting E500 with SPE has errors with the _Decimal64 type,2014/5/12 23:08
25294,gcc,c++,jakub,RESOLVED,FIXED,[4.0 Regression] Bogus "unterminated comment" error from #pragma comment,2006/1/4 12:35
42181,gcc,middle-end,spop,RESOLVED,FIXED,[4.5 Regression][graphite] -fgraphite-identity miscompiles air.f90,2010/3/25 15:52
43012,gcc,tree-optimization,spop,RESOLVED,FIXED,[4.5 Regression][graphite] wrong code for -floop-strip-mine in 453.povray,2010/2/12 14:54
56865,gcc,target,rguenth,RESOLVED,FIXED,[4.9 regression] FAIL: gcc.dg/vect/vect-96.c scan-tree-dump-times vect "Alignment of access forced using peeling" 1,2014/2/3 16:48
53908,gcc,rtl-optimization,steven,RESOLVED,FIXED,[4.6 Regression] csa removes needed memory load,2012/11/8 22:23
49772,gcc,tree-optimization,rguenth,RESOLVED,FIXED,"[4.7 Regression] ICE: in ipa_pta_execute, at tree-ssa-structalias.c:6790 with -fipa-pta",2011/12/8 13:25
30210,gcc,target,unassigned,RESOLVED,FIXED,[4.5 Regression] Altivec builtins have inaccurate return types,2009/10/22 21:34
3163,gcc,bootstrap,zackw,RESOLVED,FIXED,[3.3 Only] gcc/aclocal.m4 mmap test fails on UnixWare 7.1.1,2005/2/9 2:18
61548,gcc,ipa,hubicka,RESOLVED,FIXED,[5 Regression] FAIL: gcc.dg/tls/alias-1.c,2015/2/9 21:09
40061,gcc,bootstrap,unassigned,RESOLVED,FIXED,"[4.3 Regression] Bootstrap failure in dwarf2out.c, function add_subscript_info: 'dimension_number' undefined",2009/6/18 20:06
32716,gcc,c++,unassigned,RESOLVED,FIXED,[4.2 Regression] Wrong code generation. Alias and C++ virtual bases problem.,2009/3/30 22:11
47137,gcc,driver,unassigned,RESOLVED,FIXED,[4.6 Regression] gcc incorrectly combines assembly inputs,2011/1/4 10:30
27087,gcc,tree-optimization,unassigned,RESOLVED,FIXED,[4.1 regression] ICE in merge_alias_info,2006/4/18 17:24
11347,gcc,c++,nathan,RESOLVED,FIXED,[3.4 regression] Error on valid expression in default value for int argument to inner template.,2004/1/17 4:22
57422,gcc,rtl-optimization,abel,RESOLVED,FIXED,[4.9 Regression] ICE: SIGSEGV in dominated_by_p with custom flags,2014/1/21 12:32
32328,gcc,tree-optimization,unassigned,RESOLVED,FIXED,[4.2 Regression] -fstrict-aliasing causes skipped code,2009/3/30 22:07
37742,gcc,middle-end,rguenth,RESOLVED,FIXED,[4.4 Regression] ICE in vectorizer with restrict pointer,2008/11/28 11:30
54926,gcc,bootstrap,unassigned,RESOLVED,FIXED,[4.8 Regression] Bootstrap comparison failure for various files in libbacktrace,2012/12/21 12:15
50164,gcc,target,unassigned,RESOLVED,FIXED,"[IRA, 4.7 Regression] Performance degradation due to increased memory instructions count",2011/10/28 10:10
33887,gcc,c++,unassigned,RESOLVED,FIXED,[4.2 Regression] Reference to bitfield gets wrong value when optimizing,2009/3/31 0:35
61889,gcc,gcov-profile,xur,RESOLVED,FIXED,"[5 Regression] gcov-tool.c uses nftw, ftw.h",2015/2/12 9:41
58630,gcc,testsuite,unassigned,RESOLVED,FIXED,[4.9 Regression] Revision 203171 breaks several MS-ABI tests,2014/2/11 18:59
3478,gcc,c++,unassigned,RESOLVED,FIXED,[3.4 regression] Accepts invalid "enum typename",2004/1/17 4:22
58627,gcc,c++,unassigned,RESOLVED,FIXED,[4.9 Regression] crash during compilation of boost testsuite,2013/12/29 9:29
32772,gcc,tree-optimization,unassigned,RESOLVED,FIXED,[4.3 Regression] error: found real variable when subvariables should have appeared,2007/9/7 0:17
54838,gcc,middle-end,mpolacek,RESOLVED,FIXED,"[4.8 Regression] ICE: in merge_latch_edges, at cfgloop.c:678 with -ftracer",2012/12/18 14:40
63573,gcc,bootstrap,marxin,RESOLVED,FIXED,[5 Regression] libgo: ICE building libgo on powerpc-linux-gnu,2014/12/18 12:09
65398,gcc,c++,mpolacek,RESOLVED,FIXED,[5 Regression] [C++11] GCC rejects constexpr variable definitions with valid initialization,2015/3/31 18:00
50913,gcc,tree-optimization,spop,RESOLVED,FIXED,"[4.7 Regression] ICE in scan_tree_for_params_right_scev, at graphite-sese-to-poly.c:633 compiling libgfortran with -floop-interchange -m32",2013/8/29 8:52
47172,gcc,c++,dodji,RESOLVED,FIXED,[4.6 Regression] [C++0x] cannot call member function without object,2011/2/17 6:52
65006,gcc,ipa,unassigned,RESOLVED,FIXED,[5 Regression] 252.eon in SPEC CPU 2000 miscompiled with LTO,2015/3/2 13:44
40388,gcc,middle-end,unassigned,RESOLVED,FIXED,[4.5 Regression] another null pointer in remove_unreachable_regions,2009/7/12 20:23
28035,classpath,classpath,audriusa,RESOLVED,FIXED,java.rmi.server.UID does not return unique IDs,2006/6/19 10:14
65351,gcc,target,unassigned,RESOLVED,FIXED,[5 Regression] libiberty's pic version contains non-pic code on m32 darwin; causes bootstrap fail building libcc1.,2015/4/10 6:54
50672,gcc,tree-optimization,rguenth,RESOLVED,FIXED,[4.7/4.8 Regression] ice: verify_ssa failed: no immediate_use list,2012/8/2 9:43
37843,gcc,middle-end,hjl.tools,RESOLVED,FIXED,[4.4 Regression] unaligned stack in main due to tail call optimization,2009/1/15 16:28
33826,gcc,tree-optimization,unassigned,RESOLVED,FIXED,[4.1/4.2 Regression] GCC generates wrong code for infinitely recursive functions,2008/1/24 21:35
26560,gcc,target,unassigned,RESOLVED,FIXED,[4.1 regression] mips: unable to find a register to spill in class 'FP_REGS',2008/7/4 15:17
42326,gcc,tree-optimization,spop,RESOLVED,FIXED,[4.5 Regression][graphite] segfault in tree-data-ref.c with Graphite building 200.sixtrack,2010/3/8 17:51
64568,gcc,middle-end,rguenth,RESOLVED,FIXED,[5 Regression] error: invalid reference prefix,2015/1/16 15:50
65028,gcc,ipa,jamborm,RESOLVED,FIXED,[5 Regression] 450.soplex in SPEC CPU 2006 is miscompiled,2015/2/20 13:55
40357,gcc,c++,dodji,RESOLVED,FIXED,[4.5 Regression] compiler hang for C++ code,2009/7/15 11:19
59188,gcc,sanitizer,unassigned,RESOLVED,FIXED,[4.9 Regression] lib64/libtsan.so: undefined reference to `sigsetjmp',2013/12/6 11:23
25130,gcc,rtl-optimization,unassigned,RESOLVED,FIXED,[4.1/4.2 Regression] miscompilation in GCSE,2011/12/2 13:03
56377,gcc,c++,jason,RESOLVED,FIXED,[4.8 Regression] <missing> template args in substitution-failure diagnostics,2013/2/26 4:29
11595,gcc,c++,steven,RESOLVED,FIXED,[3.3 Regression] crash on duplicate label definition,2007/12/2 22:40
20488,gcc,bootstrap,unassigned,RESOLVED,FIXED,Makefile: Must be a separator on line 774.  Stop.,2010/4/22 16:09
13577,gcc,driver,unassigned,RESOLVED,FIXED,[3.3 Regression] multiple -o options with -c cause unrecognized option `-strip',2004/3/13 0:47
16800,gcc,target,unassigned,RESOLVED,FIXED,PowerPC - Unnecessary rldicl,2004/11/28 0:07
18058,gcc,bootstrap,ebotcazou,RESOLVED,FIXED,[4.2 Regression] Bootstrap fails with non-GCC compilers,2006/7/4 7:54
30052,gcc,tree-optimization,unassigned,RESOLVED,FIXED,[4.2 Regression] points-to analysis slow and memory hungry,2008/6/10 17:26
1819,gcc,debug,unassigned,RESOLVED,FIXED,severe problems debugging c++-code (libstdc++),2003/7/25 17:33
22591,gcc,tree-optimization,dnovillo,RESOLVED,FIXED,[4.0 regression] wrong alias information causes an incorrect redundant load elimination,2005/7/27 15:04
12573,gcc,c++,giovannibajo,RESOLVED,FIXED,[3.4 Regression] ICE (segfault) with Boost.Python,2004/1/17 4:22
16590,gcc,rtl-optimization,unassigned,RESOLVED,FIXED,[3.4 regression] Incorrect execution when compiling with -O2,2004/10/30 21:10
11646,gcc,rtl-optimization,ebotcazou,RESOLVED,FIXED,[3.3/3.4 regression] ICE in commit_one_edge_insertion with -fnon-call-exceptions -fgcse -O,2004/1/17 4:22
17813,gcc,middle-end,ebotcazou,RESOLVED,FIXED,[3.4 regression] ada bootstrap failure on i486-linux,2004/11/23 13:14
15554,gcc,c++,mark,RESOLVED,FIXED,"[3.4/4.0 Regression] ICE in tsubst_copy, at cp/pt.c:7433",2004/10/30 21:11
17972,gcc,c++,unassigned,RESOLVED,FIXED,[3.4 Regression] const/pure functions result in bad asm,2005/11/21 10:41
17180,gcc,fortran,ebotcazou,RESOLVED,FIXED,[3.4 Regression] nearly all g77 tests fail,2004/9/2 16:06
11202,gcc,rtl-optimization,unassigned,RESOLVED,FIXED,[3.4 regression] incorrectly ordered rtl after emit_libcall_block,2004/1/17 4:22
16623,gcc,c++,mark,RESOLVED,FIXED,[4.0 Regression] g++ ICE in tsubst_decl:6081,2004/9/13 14:15
19937,gcc,tree-optimization,rakdver,RESOLVED,FIXED,[4.0 regression] Wrong loop exit (causes binutils to fail),2005/2/25 17:04
17186,gcc,rtl-optimization,rth,RESOLVED,FIXED,"[3.4 regression] ICE in move_for_stack_reg, at reg-stack.c:1065",2005/1/23 17:49
17151,gcc,rtl-optimization,unassigned,RESOLVED,FIXED,x >> (y % WORDSIZE) not optimized,2004/9/30 23:48
12515,gcc,c++,unassigned,RESOLVED,FIXED,[3.4 Regression] Use of ?: operator in templated class causes ICE,2004/1/17 4:22
4362,gcc,debug,unassigned,RESOLVED,FIXED,"Internal compiler error in `output_die', at dwarf2out.c:5433",2003/7/25 17:33
12441,gcc,rtl-optimization,rth,RESOLVED,FIXED,[3.3 Regression] Can't spill register bug,2004/1/12 14:18
14522,gcc,bootstrap,bonzini,RESOLVED,FIXED,[4.0 Regression] Bad sed command in the configure script,2004/9/13 14:15
6291,gcc,debug,unassigned,CLOSED,FIXED,Debugging broken on 3.1.  GDB says : "Dwarf Error: Cannot handle DW_FORM_strp in DWARF reader.",2005/7/23 22:46
19403,gcc,c++,lerdsuwa,RESOLVED,FIXED,[4.0/4.1 Regression] name lookup is broken with friends,2005/6/23 15:47
30818,gcc,c++,nathan,RESOLVED,FIXED,[4.2 Regression] templates and typedefs cause function prototype not to match,2009/3/30 21:35
14804,gcc,c++,mark,RESOLVED,FIXED,[3.4/4.0 Regression] [unit-at-a-time] initializing const data with reinterpret_cast-ed pointer-to-member function crashes,2004/10/30 21:11
16885,gcc,java,unassigned,RESOLVED,FIXED,[4.0 Regression] java/awt/Container.java build failure with parallel make,2005/1/19 19:32
13424,gcc,rtl-optimization,ebotcazou,RESOLVED,FIXED,[3.4/4.0 Regression] gcc.dg/20031202-1.c is miscompiled,2004/9/13 14:15
11793,gcc,target,aldyh,RESOLVED,FIXED,"[3.3 regression] ICE in extract_insn, at recog.c:2175 (const_vector's)",2004/11/19 18:49
13330,gcc,c++,unassigned,RESOLVED,FIXED,[3.4 Regression] Bootstrap failure while linking libstdc++.so: undefined reference to phtread symbols,2004/1/17 4:22
18556,gcc,c++,mark,RESOLVED,FIXED,[4.0 Regression] C++ debug is broken,2005/7/22 21:02
6858,gcc,bootstrap,unassigned,RESOLVED,FIXED,bootstrap fails due to cpp-precomp,2003/12/19 18:04
27880,gcc,target,unassigned,RESOLVED,FIXED,[4.3 regression] undefined reference to `_Unwind_GetIPInfo',2011/6/27 11:08
17128,gcc,middle-end,unassigned,RESOLVED,FIXED,[4.0 Regression] ICE in tree-inline,2004/9/25 11:06
26449,gcc,rtl-optimization,rakdver,RESOLVED,FIXED,[4.2 Regression] ICE in loop invariant motion,2009/3/30 15:50
18073,gcc,c++,reichelt,RESOLVED,FIXED,[4.0 regression] mmintrin.h rejected by C++ frontend,2006/12/26 22:10
13256,gcc,target,hp,RESOLVED,FIXED,strict_low_part mistreated in delay slots,2003/12/14 5:52
17675,gcc,fortran,pbrook,RESOLVED,FIXED,[Regression w.r.t. g77] Alignment constraints not honored in EQUIVALENCE,2005/1/16 23:21
16693,gcc,middle-end,roger,RESOLVED,FIXED,[4.0 regression] Bitwise AND is lost when used within a cast to an enum of the same precision,2004/10/30 21:10
14348,gcc,bootstrap,unassigned,RESOLVED,FIXED,[3.3 only] Cannot bootstrap GCC-3.3.x with GCC-3.5 (experimental),2004/3/2 2:24
